Area / Lab,Desired utility / feature,Status,Usefulness,Difficulty,Fit / relevance,Current evidence,Notes
Core / Architecture,Assembly definitions per runtime/editor/lab/bridge,Partially implemented,Critical,High,Export/package safety,PungentFunk.Utilities.Runtime.asmdef; Editor/PungentFunk.Utilities.Editor.asmdef,"Bundle-level Runtime/Editor asmdefs exist. Per-lab asmdefs, optional bridge asmdefs, package manifests, and version-defined optional dependencies are still missing."
Core / Architecture,Bundled architecture/inventory documentation inside package,Partially implemented,High,Low,Documentation/release support,Documentation/Development contains active and Outdated docs; current zip includes older feature inventory files,"Documentation is included, but current source has grown to 181 scripts; replace older bundled snapshot/inventory documents with this updated audit set."
Core / Architecture,Cached editor-window type resolution,Fully implemented,High,Medium,Launcher stability/performance,PungentUtilityDescriptor.cs,Descriptor caches resolved window types and preserves OpenDirect compatibility.
Core / Architecture,Category colour coding in control panel,Fully implemented,Medium,Medium,UX navigation,PungentUtilityCategories.cs; UtilityWindowTheme category tints; Control Panel category filters,Category taxonomy and tint lookup are centralized.
Core / Architecture,Central utility registry,Fully implemented,Critical,Medium,Central launcher/discovery,Editor/Utilities Core/PungentUtilityRegistry.cs,Central registry currently registers 27 utility windows with lab/module/status metadata and related utility IDs. Asset Placement still also has a per-lab registrar that may duplicate/override the same id.
Core / Architecture,Centralized menu path constants and direct tool menu owner,Fully implemented,High,Low,Menu hygiene / release polish,PungentUtilityMenuPaths.cs; PungentUtilityToolMenus.cs,Direct menu entries are now owned centrally under Tools/Pungent rather than scattered window-by-window. Legacy aliases still need final curation.
Core / Architecture,Control Panel / lab browser,Partially implemented,Critical,Medium,Primary suite navigation,"PungentUtilityControlPanelWindow.cs, PungentUtilityCategories.cs, PungentUtilityRegistry.cs, PungentUtilityToolMenus.cs","Control Panel now has stronger category/lab organization, status metadata, related utility links, and recent/minimized utility flow. It still lacks full pinned/favourite lab workflows and per-utility documentation cards."
Core / Architecture,Core category taxonomy and tint service,Fully implemented,Medium,Low,Launcher organization / visual taxonomy,PungentUtilityCategories.cs,"Broad product categories, descriptions, sort order, compatibility normalization, and tint lookup are centralized."
Core / Architecture,Design Audit user-linkable documentation toolbar,Fully implemented,High,Medium,Project-specific documentation integration,PungentUtilityDocumentationLinks.cs; DocumentationLinkEditorPopup.cs; DrawDocumentationLinksToolbar in PungentUtilityDesignAuditWindow.cs,Fixed Open Design Bible/Open Inventory buttons were replaced by project-local documentation links. Toolbar is horizontal but not yet a dedicated scrollable control.
Core / Architecture,Design Validation Audit window,Fully implemented,Critical,Medium,Architecture QA gate,"PungentUtilityDesignAudit.cs, PungentUtilityDesignAuditWindow.cs","The audit window scans scripts, registry entries, menu taxonomy, namespaces, asmdefs, CreateAssetMenu roots, layout signals, performance markers, and bundled docs. Future work is configurable rules, user-linked documentation, and project adapter audit profiles."
Core / Architecture,Developer Mode toggle for extra design/package permissions,Fully implemented,High,Medium,Safe shipping / internal tooling boundary,Editor/Developer/PungentDeveloperMode.cs; PungentUtilityDesignAuditWindow.cs developer toggle,Developer Mode is gated by PUNGENTFUNK_INTERNAL_DEVTOOLS and includes a release-blocker warning for public package export.
Core / Architecture,Developer-only theme preset source generation,Fully implemented,High,High,Internal theme authoring,UtilityThemePresetSourceGenerator.cs; UtilityThemePresetSourceWriter.cs; UtilityThemePresetLibrary.Generated.cs,Generated preset source can be created/updated/removed from developer-only tooling behind PUNGENTFUNK_INTERNAL_DEVTOOLS.
Core / Architecture,Direct lab menu routing,Fully implemented,High,Low,Navigation,"PungentUtilityToolMenus.cs, PungentUtilityMenuPaths.cs, PungentUtilityLabs.cs",Direct tool/lab access is centralized under Tools/Pungent. Legacy aliases remain where compatibility is preserved.
Core / Architecture,Documentation buttons/cards on each utility tile,Partially implemented,High,Medium,Discoverability/support,PungentUtilityDocumentationLinks.cs; DocumentationLinkEditorPopup.cs; PungentUtilityDesignAuditWindow.cs,User-linkable documentation exists for the Design Validation Audit toolbar. Per-utility documentation buttons/cards in the Control Panel are still incomplete.
Core / Architecture,Documentation link storage and editor popup,Fully implemented,High,Medium,Project documentation integration,PungentUtilityDocumentationLinks.cs; DocumentationLinkEditorPopup.cs,Project-local documentation links can be added as asset links or external paths and opened from the audit toolbar.
Core / Architecture,Dry-run/preview/apply pattern for destructive workflows,Partially implemented,Critical,Medium,Safety,"Placement preview/apply, reference scanner, tuning copy, rename preview","Good in many tools, but not uniformly documented/standardised."
Core / Architecture,Editor GUIStyle session bridge,Partially implemented,High,High,Appearance/editor customization,PungentEditorGuiStyleBridge.cs; PungentEditorStyleExplorerWindow.cs,Session GUIStyle overrides and restoration exist. Requires careful safeguards because global editor styling can affect unrelated Unity panels.
Core / Architecture,Editor toolbar quick-launch/status integration,Yet to implement,Medium,Medium,Access surface / workflow speed,No Unity Toolbar/EditorToolbar integration found,"Design bible calls for toolbar quick launches, recent tools, active lab shortcuts, preview/debug toggles, and status indicators for frequent workflows."
Core / Architecture,Experimental global editor skin bridge,Partially implemented,High,Very High,Appearance/editor customization,PungentEditorSkinBridge.cs; PungentEditorSkinProfile.cs; PungentEditorSkinSelectorMap.cs; PungentEditorSkinUssGenerator.cs,USS generation and enable/disable flow exist. It remains experimental and needs visual compatibility testing across Unity versions/panels.
Core / Architecture,Inspector-embedded toolbars and Open in Lab actions,Partially implemented,High,Medium,Contextual access / authoring speed,"PungentNoteInspectorIntegration.cs, Audio/Profile custom editors, PungentSceneGizmoSourceEditor.cs, PungentColourPaletteSOEditor.cs",Inspector notes and several custom editors provide context actions. A standardized package-wide Open in Lab toolbar pattern is still not complete.
Core / Architecture,Keyboard shortcuts / command palette quick actions,Yet to implement,Medium,Medium,Power-user workflow,No Shortcut attributes or ShortcutManager usage found,"Design bible lists command-style actions such as open control panel/current lab, scan current selection, regenerate selected output, and toggle debug tools."
Core / Architecture,Lab descriptions/help text in launcher,Fully implemented,High,Low,Discoverability,"PungentUtilityLabs.GetDescription, PungentUtilityControlPanelWindow.cs",Standard lab descriptions exist and are surfaced by launcher/tooltips.
Core / Architecture,Lab-based package architecture: Core + standalone labs + bundle + project adapters,Partially implemented,Critical,High,Core release architecture,181 namespaced C# scripts; Runtime/Editor asmdefs; central registry; category/menu constants; bundled development docs,"Bundle-level architecture is now mature. Still missing per-lab package manifests, per-lab/bridge asmdefs, optional bridge packages, and project-adapter package structure."
